osmid,geometry,amenity
582795116,POINT (-121.8874224 37.3352828),bicycle_parking
582795117,POINT (-121.8813472 37.335656),bicycle_parking
583403200,POINT (-121.8881917 37.3345935),bicycle_parking
583403202,POINT (-121.8886986 37.3344356),bicycle_parking
583403204,POINT (-121.8886933 37.3346596),bicycle_parking
583403206,POINT (-121.8890554 37.3344954),bicycle_parking
583403208,POINT (-121.890088 37.3352503),bicycle_parking
584581112,POINT (-121.8801777 37.333636),bicycle_parking
587126190,POINT (-121.9321669 37.286698),fuel
590759662,POINT (-121.8940484 37.3521183),bicycle_parking
590759666,POINT (-121.8944991 37.3518989),bicycle_parking
590759669,POINT (-121.8938553 37.3523506),bicycle_parking
590759671,POINT (-121.8936488 37.3523037),bicycle_parking
590759682,POINT (-121.8935442 37.3523549),bicycle_parking
591381795,POINT (-121.8839736 37.3392035),bicycle_parking
591381798,POINT (-121.8837241 37.3393229),bicycle_parking
591381801,POINT (-121.8834344 37.3394487),bicycle_parking
591381803,POINT (-121.8832333 37.3395447),bicycle_parking
599078699,POINT (-121.989946 37.3453886),parking
599098661,POINT (-121.994843 37.3384428),cafe
599098662,POINT (-121.994854 37.3385622),bar
599098663,POINT (-121.9943503 37.3383873),parking
599100867,POINT (-121.993444 37.3394417),kindergarten
599326229,POINT (-121.997325 37.3529575),cafe
599326230,POINT (-121.9677618 37.3517995),cafe
599326231,POINT (-121.9678597 37.3519767),parking
600498083,POINT (-121.8499707 37.2737362),post_box
602415933,POINT (-122.034852 37.3740284),atm
602415948,POINT (-122.0354203 37.3730956),atm
608516963,POINT (-122.054947 37.3742826),restaurant
610536759,POINT (-121.9404289 37.2947341),fast_food
611529792,POINT (-121.9127143 37.3316397),restaurant
611542074,POINT (-121.9681469 37.351804),fast_food
611542075,POINT (-121.967984 37.3518058),fast_food
611542076,POINT (-121.9680632 37.351804),fast_food
611542081,POINT (-121.9655072 37.3528367),restaurant
611542082,POINT (-121.96279 37.3500141),ice_cream
611542084,POINT (-121.9625923 37.3500206),fast_food
611549955,POINT (-121.949812 37.3657883),fast_food
615947556,POINT (-122.0321164 37.3852373),cafe
615947557,POINT (-121.9898 37.288819),restaurant
616558838,POINT (-121.950831 37.3001775),pharmacy
617019748,POINT (-121.899288 37.4161154),cafe
617019759,POINT (-121.897099 37.415928),food_court
619015092,POINT (-121.9944607 37.3238881),restaurant
622352556,POINT (-121.997364 37.353067),bank
622352577,POINT (-121.997736 37.3538708),restaurant
622352584,POINT (-121.998997 37.353383),restaurant
622387702,POINT (-121.998112 37.3537336),atm
626201322,POINT (-122.000328 37.3533178),restaurant
626201331,POINT (-122.0003294 37.3534511),post_box
626311956,POINT (-121.9950133 37.3706818),parking
627246939,POINT (-121.9987285 37.352891),recycling
631343897,POINT (-121.947683 37.3953861),police
647650154,POINT (-122.032537 37.3743394),cafe
647652085,POINT (-122.0311644 37.3784276),taxi
650017098,POINT (-121.9574586 37.3815307),fuel
650017099,POINT (-121.9585441 37.3820901),veterinary
655272899,POINT (-122.0232071 37.3348357),fuel
659528280,POINT (-121.8893203 37.2918578),place_of_worship
663154304,POINT (-122.0636261 37.3131682),parking
663167796,POINT (-122.0659026 37.3112772),parking
671794971,POINT (-121.976347 37.2879988),cafe
678548367,POINT (-121.8849695 37.3294477),parking
678973941,POINT (-121.888453 37.33062),bar
679000900,POINT (-121.888844 37.332288),restaurant
691621519,POINT (-121.9751305 37.2874484),restaurant
691624487,POINT (-121.9774219 37.2850172),pharmacy
691861116,POINT (-121.978533 37.2864019),fast_food
691871392,POINT (-121.9880427 37.294648),restaurant
691891394,POINT (-121.9962096 37.2915213),fast_food
692306938,POINT (-121.9831731 37.2642943),ice_cream
692306939,POINT (-121.983154 37.264226),restaurant
692306940,POINT (-121.9832294 37.2640616),restaurant
692306941,POINT (-121.983585 37.2640002),restaurant
692306942,POINT (-121.9830966 37.2644203),bank
692631229,POINT (-122.059697 37.3225594),restaurant
693874928,POINT (-121.983805 37.2639249),pharmacy
693879859,POINT (-121.9626878 37.2620828),restaurant
693879862,POINT (-121.962079 37.2629687),restaurant
693884718,POINT (-121.96102 37.2633894),fuel
693884719,POINT (-121.9612507 37.2636964),fast_food
693891092,POINT (-121.9718554 37.2737459),restaurant
741315072,POINT (-121.934958 37.2860696),place_of_worship
760160520,POINT (-121.9283 37.3950017),cafe
760775752,POINT (-121.995251 37.3457515),fuel
760778738,POINT (-121.9921049 37.3518879),pharmacy
761885172,POINT (-122.077106 37.3946116),bus_station
763938339,POINT (-122.0146902 37.3518388),fuel
763938342,POINT (-122.022651 37.3485296),post_box
764510168,POINT (-122.0247687 37.3425911),toilets
764742310,POINT (-122.0297528 37.3516456),bicycle_parking
764742311,POINT (-122.0331753 37.3672514),bicycle_parking
764742313,POINT (-122.0298494 37.3672898),bicycle_parking
764742314,POINT (-122.0288355 37.3665394),bicycle_parking
764742316,POINT (-122.0666761 37.3371541),bicycle_parking
764742318,POINT (-122.0674915 37.336783),bicycle_parking
764742319,POINT (-122.0404227 37.3361816),bicycle_parking
764742320,POINT (-122.040884 37.3373844),bicycle_parking
764742321,POINT (-122.0306916 37.351394),bicycle_parking
764742324,POINT (-122.0418174 37.3406301),bicycle_parking
764742326,POINT (-122.0667459 37.3363309),bicycle_parking
764742327,POINT (-122.036335 37.3366295),bicycle_parking
764742328,POINT (-122.0355357 37.3364375),bicycle_parking
764742330,POINT (-122.0359863 37.3364119),bicycle_parking
764742331,POINT (-122.0356483 37.3364162),bicycle_parking
764742332,POINT (-122.0354498 37.3364631),bicycle_parking
764742334,POINT (-122.0229776 37.3368939),bicycle_parking
764745095,POINT (-122.0300641 37.3772136),bicycle_parking
764745096,POINT (-122.0300131 37.376977),bicycle_parking
764745097,POINT (-122.0302384 37.3767319),bicycle_parking
764745098,POINT (-122.030335 37.3764421),bicycle_parking
764745100,POINT (-122.0334383 37.3658842),bicycle_parking
764745101,POINT (-122.0304074 37.376165),bicycle_parking
764745102,POINT (-122.0302786 37.3760968),bicycle_parking
764745103,POINT (-122.0300104 37.3776165),bicycle_parking
764745105,POINT (-122.0299675 37.3774609),bicycle_parking
765337251,POINT (-122.0424778 37.3383748),pharmacy
766448498,POINT (-122.0301373 37.3783443),bicycle_parking
766458505,POINT (-122.0329483 37.3782953),fountain
766458506,POINT (-122.0324239 37.3781813),clock
766773237,POINT (-122.0248516 37.358548),bicycle_parking
767478530,POINT (-122.0185383 37.3575557),bicycle_parking
767478531,POINT (-122.017578 37.356946),bicycle_parking
767478532,POINT (-122.0175301 37.3567883),bicycle_parking
767478533,POINT (-122.0173608 37.3563465),bicycle_parking
767478534,POINT (-122.019411 37.3580494),ice_cream
769434141,POINT (-122.0311821 37.3774938),bicycle_parking
769434142,POINT (-122.0313324 37.3776147),bicycle_parking
769434143,POINT (-122.0307873 37.3771372),bicycle_parking
769434144,POINT (-122.0320398 37.3780138),bicycle_parking
769434145,POINT (-122.032139 37.3783074),bicycle_parking
769434146,POINT (-122.0308442 37.3778071),bicycle_parking
769434147,POINT (-122.0304097 37.3777282),bicycle_parking
769434148,POINT (-122.031109 37.3778028),bicycle_parking
823952587,POINT (-121.8769014 37.3361739),restaurant
823953171,POINT (-121.8770879 37.3363857),fast_food
841457704,POINT (-122.0201561 37.3564333),bicycle_parking
841457707,POINT (-122.0138757 37.3526286),bicycle_parking
841457717,POINT (-122.0136182 37.3526073),bicycle_parking
847339109,POINT (-121.9461786 37.394381),fast_food
847339439,POINT (-121.9463474 37.3945932),fast_food
876495803,POINT (-122.0612562 37.4014946),post_box
920752301,POINT (-122.0324294 37.3743177),fast_food
923740504,POINT (-121.9417677 37.4064203),cafe
923740513,POINT (-121.9416711 37.4064714),fast_food
933756937,POINT (-121.9806874 37.3911122),doctors
933757012,POINT (-121.981391 37.3923532),police
933941564,POINT (-121.9830497 37.3941349),vending_machine
933941567,POINT (-121.984632 37.3921865),vending_machine
933941582,POINT (-121.980183 37.3939384),vending_machine
933941592,POINT (-121.9829826 37.3937753),vending_machine
933941602,POINT (-121.9818157 37.3942402),vending_machine
933941605,POINT (-121.9850832 37.3938835),toilets
933941606,POINT (-121.9817363 37.3919662),cafe
933947253,POINT (-121.984561 37.3921864),toilets
